kanton	gemeinde	dev_2011	sudest_2011	total_2011	dev_2010	sudest_2010	total_2010
Zug	Hünenberg	5	-	5	16	-	16
Zug	Risch	1	-	1	200	-	200
Zug	Unterägeri	..	..	..	9	-	9
Zug	Zug	216	-	216	652	1	653
Zürich		2'111	31	2'141	4'432	14	4'446
Zürich	Adliswil	40	-	40	..	..	..
Zürich	Bubikon	3	-	3	43	-	43
Zürich	Dübendorf	15	-	15	65	-	65
Zürich	Elgg	40	-	40	40	-	40
Zürich	Erlenbach (ZH)	45	4	49	82	4	86
Zürich	Fehraltorf	1	-	1	3	-	3
Zürich	Gossau (ZH)	6	7	13	..	..	..
Zürich	Herrliberg	50	-	50	97	-	97
Zürich	Illnau-Effretikon	154	-	154	..	..	..
Zürich	Kloten	-	-	-	100	-	100
Zürich	Küsnacht (ZH)	320	-	320	300	-	300
Zürich	Langnau am Albis	-	-	-	20	-	20
Zürich	Maur	120	-	120	110	-	110
Zürich	Meilen	..	..	..	80	-	80
Zürich	Männedorf	-	-	-	11	-	11
Zürich	Oberrieden	30	-	30	30	-	30
Zürich	Opfikon	80	-	80	80	-	80
Zürich	Rüschlikon	37	-	37	90	-	90
Zürich	Rüti (ZH)	-	-	-	13	-	13
Zürich	Schlieren	10	-	10	10	-	10
Zürich	Thalwil	-	-	-	20	-	20
Zürich	Uitikon	82	-	82	85	-	85
Zürich	Uster	20	-	20	10	-	10
Zürich	Wald (ZH)	3	-	3	2	-	2
Zürich	Wallisellen	51	-	51	81	-	81
Zürich	Wetzikon (ZH)	30	-	30	30	-	30
Zürich	Winterthur	159	-	159	148	-	148
Zürich	Wädenswil	45	-	45	45	-	45
Zürich	Zumikon	120	20	140	140	10	150
Zürich	Zürich	650	-	650	2'700	-	2'700
